page,id,title,subtitle,address,city,state,type,price,sf
13,39893777,1101-1107 W Elizabeth Ave,,"Linden, NJ",Linden,NJ,Industrial,"$9,390,748","43,882"
13,39888696,2 Timber Ln,Office & Warehouse in Marlboro,"Marlboro, NJ",Marlboro,NJ,Flex,"$710,000",
13,39887063,2185 Lemoine Ave,Entrance Level Medical Suite 700 SF,"Fort Lee, NJ",Fort Lee,NJ,Multifamily,"$299,999",700
13,39878906,C2 Brier Hill Ct,,"East Brunswick, NJ",East Brunswick,NJ,Office,"$850,000",
13,39878779,"21 &  23-25 West Front St.  Red Bank, NJ",,"Red Bank, NJ",Red Bank,NJ,Retail,"$3,950,000",
13,39878644,24 Cherry Tree Farm Rd,,"Middletown, NJ",Middletown,NJ,Retail,"$1,150,000","5,879"
13,39876710,500 Mullica Hill Rd,,"Mullica Hill, NJ",Mullica Hill,NJ,Land,"$1,590,000",
13,39875893,20 N Main St,,"Marlboro, NJ",Marlboro,NJ,Office,"$575,000","1,436"
13,39875377,201-203 E Broadway,,"Salem, NJ",Salem,NJ,Office,"$325,000","4,225"
13,39875285,1309 Boardwalk,,"Seaside Heights, NJ",Seaside Heights,NJ,Retail,"$3,999,900","8,000"
13,39874640,215 E Laurel Rd,,"Stratford, NJ",Stratford,NJ,Office,"$1,125,000","7,500"
13,39874336,481 William St,,"East Orange, NJ",East Orange,NJ,Multifamily,"$4,299,000",
13,39871772,491 Amwell Rd,South Building 1,"Hillsborough, NJ",Hillsborough,NJ,Office,"$279,000",
13,39871701,169-197 E Highland Pkwy,,"Roselle, NJ",Roselle,NJ,Industrial,"$6,720,000",
13,39854469,801 Palisade Ave,,"Fort Lee, NJ",Fort Lee,NJ,Retail,"$2,950,000","10,000"
13,39853289,1481 US Highway 22 E,,"Annandale, NJ",Annandale,NJ,Flex,"$1,299,999","1,983"
13,39852955,312 Belleville Tpke,Bell Pike Professional Building,"North Arlington, NJ",North Arlington,NJ,Office,"$310,880",
13,39852860,202 22nd Ave,,"Paterson, NJ",Paterson,NJ,Retail,"$399,000","2,100"
13,39851973,15 Home Ter,,"Roselle, NJ",Roselle,NJ,Industrial,"$3,900,000","13,500"
13,39849260,1540 State Route 138,Building One - Units 106 & 108,"Wall, NJ",Wall,NJ,Office,"$329,000",
13,39849097,426 Herbertsville Rd,,"Brick, NJ",Brick,NJ,Office,"$875,000","4,000"
13,39848006,7 Cherry St,,"Pedricktown, NJ",Pedricktown,NJ,Industrial,"$249,000","4,928"
14,39840546,728 Bunn Dr,,"Princeton, NJ",Princeton,NJ,Health Care,"$15,075,000","67,000"
14,39838154,3115 State Route 35,,"Hazlet, NJ",Hazlet,NJ,Retail,"$1,600,000","3,229"
14,39838031,1900 S 2nd St,,"Millville, NJ",Millville,NJ,Industrial,"$450,000","5,400"
14,39837427,3120 Route 73 N,Route 73 Development site,"Maple Shade Township, NJ",Maple Shade Township,NJ,Land,"$450,000",
14,39837059,1100 Clifton Ave,,"Clifton, NJ",Clifton,NJ,Office,"$450,000",
14,39835531,701-703 Monroe Ave,,"Asbury Park, NJ",Asbury Park,NJ,Retail,"$2,500,011","3,648"
14,39828324,860 Route 168,,"Blackwood, NJ",Blackwood,NJ,Retail,"$465,000",
14,39825379,4911 Landis Ave,Beach front restaurant and resident,"Sea Isle City, NJ",Sea Isle City,NJ,Retail,"$1,400,000","2,500"
14,39821810,301 Old Marlton Pike,,"Marlton, NJ",Marlton,NJ,Office,"$2,100,000","6,000"
14,39817454,155-157 Clifton Ave,,"Newark, NJ",Newark,NJ,Multifamily,"$3,480,000","9,120"
14,39817269,156-158 North 1st Street,,"Paterson, NJ",Paterson,NJ,Land,"$1,950,000",
14,39817140,11 & 17 Union Square,,"Phillipsburg, NJ",Phillipsburg,NJ,Retail,"$989,000",
14,39810931,4 Market St,,"Passaic, NJ",Passaic,NJ,Retail,"$865,000","3,467"
14,39807717,583 Middlebush rd,,"Somerset, NJ",Somerset,NJ,Land,"$3,200,000",
14,39807340,325-329 Newark Ave,,"Jersey City, NJ",Jersey City,NJ,Land,"$4,800,000",
14,39807279,75 Springside Rd,,"Westampton, NJ",Westampton,NJ,Retail,"$1,100,000","1,800"
14,39807093,1 Ironside Ct,,"Willingboro, NJ",Willingboro,NJ,Industrial,"$11,500,000","53,970"
14,39802388,59 E Ridgewood Ave,K & L LLC,"Ridgewood, NJ",Ridgewood,NJ,Retail,"$2,200,000","5,000"
14,39792945,10 Allen St,"Allen St. Professional Center, 5 Office Condo","Toms River, NJ",Toms River,NJ,Office,"$2,650,000",
14,39792286,17 Vreeland St,"6,500 SF Ind Warehouse | Office + Parking","Lodi, NJ",Lodi,NJ,Industrial,"$1,400,000","6,500"
14,39789508,495 Jack Martin Blvd,United Medical Park,"Brick, NJ",Brick,NJ,Office,"$550,000",
14,39789164,200 Hall Ave,,"Perth Amboy, NJ",Perth Amboy,NJ,Retail,"$999,999","3,000"
14,39786265,2513 West St,,"Union City, NJ",Union City,NJ,Multifamily,"$1,080,000",
14,39770502,1741 Princeton Ave,,"Lawrence Township Mercer, NJ",Lawrence Township Mercer,NJ,Retail,"$1,150,000","4,104"
14,39769908,1307 Stuyvesant Ave,,"Union Township, NJ",Union Township,NJ,Office,"$1,250,000","2,863"
15,39768860,0 By Palmer Bridge,,"Old Bridge, NJ",Old Bridge,NJ,Land,"$675,000",
15,39749081,5-7 Washington St,,"Morristown, NJ",Morristown,NJ,Retail,"$2,950,000","5,126"
15,39748804,800-802 Main St,,"Bradley Beach, NJ",Bradley Beach,NJ,Retail,"$5,999,000","8,855"
15,39748309,2531 Kennedy Blvd,,"North Bergen, NJ",North Bergen,NJ,Multifamily,"$2,350,000",
15,39748159,250 Degraw Ave,5900SF250-258 Degraw Ave. Teaneck 2 Buildings,"Teaneck, NJ",Teaneck,NJ,Retail,"$2,500,000",5900
15,39748134,30 South St,,"Freehold, NJ",Freehold,NJ,Office,"$850,000","5,576"
